Gage Name	Structure gage having no data estimated prior to construction (post-1990)	Structure gage with missing data that has not been estimated	Period of measured record	Period of hindcasted record
S12A_H	N	N	3/1/90 - current	1/1/90 - 2/28/90
S12A_T	N	N	1/1/90 - current	None
S12B_H	N	N	3/1/90 - current	1/1/90 - 2/28/90
S12B_T	N	N	1/1/90 - current	None
S12C_H	N	N	3/17/90 - current	1/1/90 - 3/16/90
S12C_T	N	N	1/1/90 - current	None
S12D_H	N	N	1/1/90 - current	None
S12D_T	N	N	1/1/90 - current	None
S140_H	N	N	1/1/90 - current	None
S140_T	N	N	1/1/90 - current	None
S141_H	N	N	1/3/00 - current	1/1/90 - 1/2/00
S141_T	N	N	1/3/00 - current	1/1/90 - 1/2/00
S142_H	N	N	11/20/96 - current	1/1/90 - 11/19/96
S142_T	N	N	11/20/96 - current	1/1/90 - 11/19/96
S143_T	N	N	10/14/92 - current	1/1/90 - 10/13/92
S144_H	N	Y	4/27/93 - current	None
S144_T	N	Y	7/1/91 - current	None
S145_H	N	Y	4/27/93 - current	None
S145_T	N	Y	7/1/91 - current	None
S146_H	N	Y	4/27/93 - current	None
S146_T	N	Y	6/22/92 - current	None
S150_T	N	N	1/1/90 - current	None
S151_H	N	N	1/1/90 - current	None
S175_H	N	N	1/1/90 - current	None
S18C_T	N	N	1/1/90 - current	None
S190_T	N	N	1/1/90 - current	None
S332_T	N	N	1/1/90 - current	None
S333_H	N	N	1/1/90 - current	None
S334_H	N	N	1/1/90 - current	None
S334_T	N	N	1/1/90 - current	None
S34_H	N	N	1/1/90 - current	None
S343A_H	N	N	2/9/95 - current	1/1/90 - 2/8/95
S343A_T	N	N	2/9/95 - current	1/1/90 - 2/8/95
S343B_H	N	N	12/28/94 - current	1/1/90 - 12/27/94
S343B_T	N	N	12/28/94 - current	1/1/90 - 12/27/94
S344_H	N	N	1/1/90 - current	None
S344_T	N	Y	7/4/91 - current	None
S39_H	N	N	1/1/90 - current	None
S7_T	N	N	1/1/90 - current	None
S8_T	N	N	8/28/90 - current	1/1/90 - 8/27/90
S9A_T	N	N	4/3/01 - current	1/1/90 - 4/2/01
SH1	N	N	1/12/96 - current	1/1/90 - 1/11/96
